iterations,mean_loss,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name
23,4.252742616033755,1696877178,False,24,1faf0_00002,2023-10-09_14-46-18,0.10151195526123047,2.366711378097534,90598,M-Q60T6533T0,127.0.0.1,2.366711378097534,24,
24,4.250556117290192,1696877178,False,25,1faf0_00002,2023-10-09_14-46-18,0.10277175903320312,2.4694831371307373,90598,M-Q60T6533T0,127.0.0.1,2.4694831371307373,25,
25,4.248543689320389,1696877178,False,26,1faf0_00002,2023-10-09_14-46-18,0.1035921573638916,2.573075294494629,90598,M-Q60T6533T0,127.0.0.1,2.573075294494629,26,
26,4.246685340802988,1696877179,False,27,1faf0_00002,2023-10-09_14-46-19,0.10510897636413574,2.6781842708587646,90598,M-Q60T6533T0,127.0.0.1,2.6781842708587646,27,
27,4.2449640287769785,1696877179,False,28,1faf0_00002,2023-10-09_14-46-19,0.10255813598632812,2.7807424068450928,90598,M-Q60T6533T0,127.0.0.1,2.7807424068450928,28,
28,4.243365134431917,1696877179,False,29,1faf0_00002,2023-10-09_14-46-19,0.10238194465637207,2.883124351501465,90598,M-Q60T6533T0,127.0.0.1,2.883124351501465,29,
29,4.241876046901172,1696877179,False,30,1faf0_00002,2023-10-09_14-46-19,0.10419082641601562,2.9873151779174805,90598,M-Q60T6533T0,127.0.0.1,2.9873151779174805,30,
30,4.240485829959514,1696877179,False,31,1faf0_00002,2023-10-09_14-46-19,0.10255599021911621,3.0898711681365967,90598,M-Q60T6533T0,127.0.0.1,3.0898711681365967,31,
31,4.239184952978056,1696877179,False,32,1faf0_00002,2023-10-09_14-46-19,0.10431599617004395,3.1941871643066406,90598,M-Q60T6533T0,127.0.0.1,3.1941871643066406,32,
32,4.237965072133637,1696877179,False,33,1faf0_00002,2023-10-09_14-46-19,0.1043388843536377,3.2985260486602783,90598,M-Q60T6533T0,127.0.0.1,3.2985260486602783,33,
33,4.236818851251841,1696877179,False,34,1faf0_00002,2023-10-09_14-46-19,0.10518980026245117,3.4037158489227295,90598,M-Q60T6533T0,127.0.0.1,3.4037158489227295,34,
34,4.235739814152967,1696877180,False,35,1faf0_00002,2023-10-09_14-46-20,0.10350394248962402,3.5072197914123535,90598,M-Q60T6533T0,127.0.0.1,3.5072197914123535,35,
35,4.2347222222222225,1696877180,False,36,1faf0_00002,2023-10-09_14-46-20,0.10133218765258789,3.6085519790649414,90598,M-Q60T6533T0,127.0.0.1,3.6085519790649414,36,
